Cell;longitude;latitude;AAC_CAN_83.0;AAC_CAN_85.0;AAC_CAN_89.0;AAC_CAN_91.0;AAC_CAN_100.0;AAC_CAN_102.0;AAC_CAN_108.0;AAC_CAN_124.0;AAC_CAN_125.0;AAC_CAN_128.0;AAC_CAN_130.0;AAC_CAN_133.0;AAC_CAN_136.0;AAC_CAN_137.0;AAC_CAN_146.0;AAC_CAN_151.0;AAC_CAN_152.0;AAC_CAN_153.0;AAC_CAN_182.0;AAC_CAN_195.0;AAC_CAN_211.0;AAC_CAN_220.0;AAC_CAN_231.0;AAC_CAN_239.0;AAC_CAN_272.0;AAC_CAN_319.0;ACA_CAT_81.0;ACA_CAT_85.0;ACA_CAT_90.0;ACA_CAT_97.0;ACA_CAT_99.0;ACA_CAT_100.0;ACA_CAT_102.0;ACA_CAT_103.0;ACA_CAT_108.0;ACA_CAT_120.0;ACA_CAT_124.0;ACA_CAT_126.0;ACA_CAT_129.0;ACA_CAT_131.0;ACA_CAT_133.0;ACA_CAT_135.0;ACA_CAT_140.0;ACA_CAT_148.0;ACA_CAT_152.0;ACA_CAT_153.0;ACA_CAT_155.0;ACA_CAT_157.0;ACA_CAT_159.0;ACA_CAT_162.0;ACA_CAT_168.0;ACA_CAT_173.0;ACA_CAT_177.0;ACA_CAT_178.0;ACA_CAT_187.0;ACA_CAT_192.0;ACA_CAT_196.0;ACA_CAT_199.0;ACA_CAT_204.0;ACA_CAT_205.0;ACA_CAT_210.0;ACA_CAT_214.0;ACA_CAT_219.0;ACA_CAT_229.0;ACA_CAT_237.0;ACA_CAT_243.0;ACA_CAT_246.0;ACA_CAT_248.0;ACA_CAT_282.0;ACA_CAT_300.0;ACA_CAT_390.0;ACA_CAT_391.0;ACA_CAT_393.0;AGG_CAA_82.3;AGG_CAA_83.0;AGG_CAA_84.2;AGG_CAA_86.9;AGG_CAA_90.9;AGG_CAA_95.6;AGG_CAA_100.0;AGG_CAA_101.0;AGG_CAA_109.3;AGG_CAA_110.2;AGG_CAA_113.5;AGG_CAA_115.9;AGG_CAA_117.4;AGG_CAA_118.2;AGG_CAA_122.9;AGG_CAA_129.5;AGG_CAA_130.1;AGG_CAA_135.5;AGG_CAA_137.9;AGG_CAA_144.9;AGG_CAA_145.8;AGG_CAA_150.9;AGG_CAA_152.8;AGG_CAA_155.4;AGG_CAA_164.0;AGG_CAA_175.9;AGG_CAA_181.6;AGG_CAA_182.1;AGG_CAA_188.1;AGG_CAA_191.3;AGG_CAA_193.9;AGG_CAA_196.8;AGG_CAA_201.7;AGG_CAA_212.4;AGG_CAA_215.6;AGG_CAA_219.0;AGG_CAA_225.2;AGG_CAA_253.2;AGG_CAA_256.7;AGG_CAA_262.5;AGG_CAA_263.6;AGG_CAA_264.8;AGG_CAA_267.9;AGG_CAA_269.8;AGG_CAA_270.8;AGG_CAA_276.8;AGG_CAA_299.0;AGG_CAA_305.1;AGG_CAA_312.1;AGG_CAA_313.2;AGG_CAA_316.0;AGG_CAA_319.0;AGG_CAA_324.1;AGG_CAA_359.4;AGG_CAA_360.5;AGG_CAA_364.1;AGG_CAA_376.2;AGG_CAA_376.7;AGG_CAA_396.0;AGG_CAA_403.4;AGG_CAA_420.5
E35-1;15.81031;47.76505;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
E35-2;15.81031;47.76505;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
E35-3;15.81031;47.76505;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
F32-1;14.93233;47.50109;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
F32-2;14.93233;47.50109;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F32-3;14.93233;47.50109;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
G23-1;11.7432;47.2672;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
G23-2;11.7432;47.2672;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
G23-3;11.7432;47.2672;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0
G25-1;12.6264;47.2227;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
