    prob  log10(PO)   qval  alpha  fst
1  0 -1000 0.73142 0.0000 0.13037 
2  0.22222 -0.54407 0.40917 0.10738 0.14023 
3  0.11111 -0.90309 0.56392 0.0036433 0.13065 
4  1.0000 1000.0 0.0000 -0.86876 0.068641 
5  0.0000 -1000.0 0.73142 0.0000 0.13037 
6  0.88889 0.90309 0.027778 1.5696 0.32147 
7  0.0000 -1000.0 0.73142 0.0000 0.13037 
8  0.0000 -1000.0 0.73142 0.0000 0.13037 
9  0.44444 -0.096910 0.24339 0.36397 0.17034 
10  0.0000 -1000.0 0.73142 0.0000 0.13037 
11  0.77778 0.54407 0.060185 0.79488 0.21467 
12  0.0000 -1000.0 0.73142 0.0000 0.13037 
13  0.44444 -0.096910 0.24339  -nan nan 
14  0.11111 -0.90309 0.56392 -0.0020459 0.13015 
15  0.11111 -0.90309 0.56392 0.012563 0.13158 
16  0.77778 0.54407 0.060185 1.3557 0.28894 
17  0.0000 -1000.0 0.73142 0.0000 0.13037 
18  0.66667 0.30103 0.090535 0.57149 0.18899 
19  0.0000 -1000.0 0.73142 0.0000 0.13037 
20  0.22222 -0.54407 0.40917 0.49007 0.18072 
21  0.22222 -0.54407 0.40917 -0.093522 0.12286 
22  0.0000 -1000.0 0.73142 0.0000 0.13037 
23  0.11111 -0.90309 0.56392 -0.060276 0.12562 
24  0.0000 -1000.0 0.73142 0.0000 0.13037 
25  0.22222 -0.54407 0.40917 0.055355 0.13484 
26  0.44444 -0.096910 0.24339 0.22440 0.15346 
27  1.0000 1000.0 0.0000 0.073910 0.13947 
28  0.0000 -1000.0 0.73142 0.0000 0.13037 
29  0.22222 -0.54407 0.40917 0.074554 0.13667 
30  0.11111 -0.90309 0.56392 0.070979 0.13680 
31  0.11111 -0.90309 0.56392 0.077009 0.13676 
32  0.11111 -0.90309 0.56392 0.067983 0.13656 
33  0.0000 -1000.0 0.73142 0.0000 0.13037 
34  0.22222 -0.54407 0.40917 0.11110 0.14230 
35  0.11111 -0.90309 0.56392 0.10067 0.13989 
36  0.0000 -1000.0 0.73142 0.0000 0.13037 
37  0.11111 -0.90309 0.56392 0.053123 0.13507 
38  1.0000 1000.0 0.0000 2.5185 0.44750 
39  0.11111 -0.90309 0.56392 -0.060315 0.12479 
40  0.11111 -0.90309 0.56392 -0.054669 0.12652 
41  0.0000 -1000.0 0.73142 0.0000 0.13037 
42  0.33333 -0.30103 0.30385 0.14298 0.14442 
43  0.88889 0.90309 0.027778 0.97648 0.23795 
44  0.55556 0.096910 0.14583 0.51826 0.18351 
45  0.77778 0.54407 0.060185 0.79686 0.21484 
