Cell;longitude;latitude;ACA_CAC_62.0;ACA_CAC_84.0;ACA_CAC_101.0;ACA_CAC_128.0;ACA_CAC_129.0;ACA_CAC_196.0;ACA_CAC_201.0;ACA_CAC_232.0;ACA_CAC_235.0;ACA_CAC_306.0;ACA_CAC_324.0;ACA_CAC_350.0;ACA_CAC_416.0;ACA_CAC_430.0;ACA_CAC_434.0;ACA_CTG_92.0;ACA_CTG_116.0;ACA_CTG_124.0;ACA_CTG_139.0;ACA_CTG_141.0;ACA_CTG_147.0;ACA_CTG_152.0;ACA_CTG_156.0;ACA_CTG_162.0;ACA_CTG_171.0;ACA_CTG_193.0;ACA_CTG_195.0;ACA_CTG_205.0;ACA_CTG_213.0;ACA_CTG_260.0;ACA_CTG_264.0;ACA_CTG_266.0;ACA_CTG_274.0;ACA_CTG_278.0;ACA_CTG_303.0;ACA_CTG_323.0;ACC_CAT_101.0;ACC_CAT_114.0;ACC_CAT_129.0;ACC_CAT_149.0;ACC_CAT_152.0;ACC_CAT_154.0;ACC_CAT_165.0;ACC_CAT_168.0;ACC_CAT_189.0;ACC_CAT_199.0;ACC_CAT_202.0;ACC_CAT_212.0;ACC_CAT_213.0;ACC_CAT_214.0;ACC_CAT_227.0;ACC_CAT_235.0;ACC_CAT_259.0;ACC_CAT_273.0;ACC_CAT_336.0;ACC_CAT_485.0
546-1;19.5369;49.5744;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
546-2;19.5369;49.5744;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
546-4;19.5369;49.5744;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
648-1;20.0202;49.2311;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
648-3;20.0202;49.2311;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
648-4;20.0202;49.2311;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
747-1;19.7058;49.2;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
747-3;19.7058;49.2;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
747-4;19.7058;49.2;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
748-1;20.1658;49.1772;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
748-2;20.1658;49.1772;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
748-4;20.1658;49.1772;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
846-1;19.6494;48.9272;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
846-3;19.6494;48.9272;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
846-4;19.6494;48.9272;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
848-1;20.1383;48.8822;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0
848-2;20.1383;48.8822;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0
848-4;20.1383;48.8822;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
C61-1;24.5236;48.1508;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1
C61-2;24.5236;48.1508;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1
C61-4;24.5236;48.1508;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1
F61-1;24.6471;47.5984;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1
F61-3;24.6471;47.5984;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1
F61-4;24.6471;47.5984;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1
F62-1;24.8775;47.529;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
F62-2;24.8775;47.529;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1
F62-4;24.8775;47.529;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1
O62-1;24.6872;45.6102;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0
O62-2;24.6872;45.6102;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
O62-4;24.6872;45.6102;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0
P58-1;23.4755;45.4072;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0
P58-3;23.4755;45.4072;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
P58-4;23.4755;45.4072;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0
P59-1;23.8313;45.5863;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0
P59-3;23.8313;45.5863;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
P59-4;23.8313;45.5863;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
