Cell;longitude;latitude;ACA_CAC_53.7;ACA_CAC_60.7;ACA_CAC_72.3;ACA_CAC_79.2;ACA_CAC_88.4;ACA_CAC_104.4;ACA_CAC_110.4;ACA_CAC_113.7;ACA_CAC_116.2;ACA_CAC_117.3;ACA_CAC_126.6;ACA_CAC_138.6;ACA_CAC_141.0;ACA_CAC_143.3;ACA_CAC_170.4;ACA_CAC_185.0;ACA_CAC_225.3;ACA_CAC_298.0;ACA_CAC_306.9;ACA_CAC_318.8;ACA_CAC_336.2;ACA_CAC_344.8;ACA_CAC_346.3;ACA_CAC_355.6;ACA_CAC_379.1;ACA_CAC_387.9;ACA_CAC_398.6;ACA_CAC_428.0;ACA_CAC_431.3;ACA_CAC_455.6;ACA_CAC_459.5;ACA_CAC_466.4;ACA_CAC_472.3;ACA_CAC_477.2;ACC_CAG_69.3;ACC_CAG_76.9;ACC_CAG_84.7;ACC_CAG_92.5;ACC_CAG_94.0;ACC_CAG_99.3;ACC_CAG_106.1;ACC_CAG_111.4;ACC_CAG_125.2;ACC_CAG_133.5;ACC_CAG_135.4;ACC_CAG_164.3;ACC_CAG_204.8;ACC_CAG_207.5;ACC_CAG_236.8;ACC_CAG_263.2;ACC_CAG_266.3;ACC_CAG_284.1;ACC_CAG_392.8;ACC_CAG_421.6;ACC_CAG_474.1;ACC_CAG_497.1;AGG_CTG_56.4;AGG_CTG_65.6;AGG_CTG_73.9;AGG_CTG_75.2;AGG_CTG_77.6;AGG_CTG_94.3;AGG_CTG_99.4;AGG_CTG_112.6;AGG_CTG_127.1;AGG_CTG_140.9;AGG_CTG_142.7;AGG_CTG_157.3;AGG_CTG_168.6;AGG_CTG_185.6;AGG_CTG_201.3;AGG_CTG_220.6;AGG_CTG_231.8;AGG_CTG_255.7;AGG_CTG_271.0;AGG_CTG_280.2;AGG_CTG_307.2;AGG_CTG_334.7;AGG_CTG_346.1;AGG_CTG_358.5;AGG_CTG_378.3;AGG_CTG_392.8;AGG_CTG_441.5;AGG_CTG_483.2
546-1;19.518;49.5686;1;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1
546-2;19.518;49.5686;1;1;0;1;0;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0
546-4;19.518;49.5686;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0
648-1;20.0166;49.2491;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
648-2;20.0166;49.2491;1;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1
648-4;20.0166;49.2491;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1
745-1;19.0327;49.1902;1;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1
745-2;19.0327;49.1902;1;1;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1
745-4;19.0327;49.1902;1;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1
747-1;19.7227;49.2;1;1;0;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1
747-2;19.7227;49.2;1;1;0;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1
747-4;19.7227;49.2;1;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1
748-1;20.1747;49.1355;1;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0
748-2;20.1747;49.1355;1;1;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1
748-4;20.1747;49.1355;1;1;0;1;0;1;0;1;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;0;1;0;0
846-1;19.6494;48.9272;1;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1
846-2;19.6494;48.9272;1;1;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0
846-4;19.6494;48.9272;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1
848-1;20.1536;48.8844;1;1;0;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0
848-2;20.1536;48.8844;1;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0
848-4;20.1536;48.8844;1;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0
957-1;23.2;48.6544;1;1;0;1;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1
957-2;23.2;48.6544;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1
957-4;23.2;48.6544;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;1;1
A60-1;24.3186;48.4627;1;0;0;1;1;0;0;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1
A60-2;24.3186;48.4627;1;0;0;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0
A60-4;24.3186;48.4627;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0
C61-1;24.5352;48.1552;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1
C61-2;24.5352;48.1552;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;1;1
C61-4;24.5352;48.1552;1;0;0;1;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
D61-1;24.3334;47.9274;1;0;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1
