Cell;longitude;latitude;ACA_CAC_47.8;ACA_CAC_71.0;ACA_CAC_96.8;ACA_CAC_102.5;ACA_CAC_108.7;ACA_CAC_130.2;ACA_CAC_153.0;ACA_CAC_175.1;ACA_CAC_183.8;ACA_CAC_230.9;ACA_CAC_250.7;ACA_CAC_263.2;ACA_CAC_269.1;ACA_CAC_379.8;ACC_CAG_41.6;ACC_CAG_63.4;ACC_CAG_103.5;ACC_CAG_151.2;ACC_CAG_166.0;ACC_CAG_167.4;ACC_CAG_211.7;ACC_CAG_298.3;AGA_CTG_48.8;AGA_CTG_61.7;AGA_CTG_76.8;AGA_CTG_80.8;AGA_CTG_103.0;AGA_CTG_130.3;AGA_CTG_134.1;AGA_CTG_138.6;AGA_CTG_141.0;AGA_CTG_163.0;AGA_CTG_189.5;AGA_CTG_234.7;AGA_CTG_251.8;AGA_CTG_257.5;AGA_CTG_265.5;AGA_CTG_272.8;AGA_CTG_273.5;AGA_CTG_287.3;AGA_CTG_295.8;AGA_CTG_340.9;AGA_CTG_475.6;AGA_CTG_478.7
546-1;19.5277;49.5708;1;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
546-3;19.5277;49.5708;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0
546-4;19.5277;49.5708;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1
648-1;20.0702;49.2033;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1
648-2;20.0702;49.2033;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0
648-4;20.0702;49.2033;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0
745-1;19.1433;49.1758;1;1;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
745-2A;19.1433;49.1758;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1
745-3;19.1433;49.1758;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1
747-1;19.8283;49.19;1;1;1;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1
747-3;19.8283;49.19;0;1;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
747-4;19.8283;49.19;1;1;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1
748-1;20.165;49.1774;0;1;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0
