    prob  log10(PO)   qval  alpha  fst
1  1 1000 0 1.9823 0.51455 
2  0.33333 -0.30103 0.27053 0.15246 0.20774 
3  0.0000 -1000.0 0.80604 0.0000 0.18554 
4  0.0000 -1000.0 0.80604 0.0000 0.18554 
5  0.0000 -1000.0 0.80604 0.0000 0.18554 
6  0.0000 -1000.0 0.80604 0.0000 0.18554 
7  0.0000 -1000.0 0.80604 0.0000 0.18554 
8  0.22222 -0.54407 0.40143 0.14809 0.20746 
9  0.11111 -0.90309 0.64903 -0.14848 0.17172 
10  0.0000 -1000.0 0.80604 0.0000 0.18554 
11  0.0000 -1000.0 0.80604 0.0000 0.18554 
12  0.0000 -1000.0 0.80604 0.0000 0.18554 
13  0.0000 -1000.0 0.80604 0.0000 0.18554 
14  1.0000 1000.0 0.0000 2.1391 0.54278 
15  0.0000 -1000.0 0.80604 0.0000 0.18554 
16  1.0000 1000.0 0.0000 1.7467 0.47014 
17  0.11111 -0.90309 0.64903 -0.060196 0.17861 
18  0.11111 -0.90309 0.64903 -0.052298 0.18057 
19  0.0000 -1000.0 0.80604 0.0000 0.18554 
20  0.0000 -1000.0 0.80604 0.0000 0.18554 
21  0.11111 -0.90309 0.64903 -0.043723 0.18006 
22  0.0000 -1000.0 0.80604 0.0000 0.18554 
23  0.11111 -0.90309 0.64903 0.059104 0.19303 
24  0.11111 -0.90309 0.64903 0.038184 0.19070 
25  0.0000 -1000.0 0.80604 0.0000 0.18554 
26  1.0000 1000.0 0.0000 1.2842 0.38657 
27  0.11111 -0.90309 0.64903 -0.060959 0.17845 
28  0.0000 -1000.0 0.80604 0.0000 0.18554 
29  0.0000 -1000.0 0.80604 0.0000 0.18554 
30  0.11111 -0.90309 0.64903 -0.033652 0.18137 
31  0.11111 -0.90309 0.64903 0.034814 0.19059 
32  0.11111 -0.90309 0.64903 0.044816 0.19166 
33  1.0000 1000.0 0.0000 -0.81811 0.10455 
34  0.11111 -0.90309 0.64903 -0.032100 0.18192 
35  0.0000 -1000.0 0.80604 0.0000 0.18554 
36  1.0000 1000.0 0.0000 1.2811 0.38782 
37  0.0000 -1000.0 0.80604 0.0000 0.18554 
38  0.0000 -1000.0 0.80604 0.0000 0.18554 
39  0.44444 -0.096910 0.21111 0.17599 0.20915 
40  0.0000 -1000.0 0.80604 0.0000 0.18554 
41  0.33333 -0.30103 0.27053 0.28958 0.22814 
42  0.0000 -1000.0 0.80604 0.0000 0.18554 
43  1.0000 1000.0 0.0000 1.3390 0.39751 
44  0.44444 -0.096910 0.21111 0.076004 0.19528 
45  0.33333 -0.30103 0.27053 0.27643 0.22771 
46  0.22222 -0.54407 0.40143 0.14774 0.20541 
47  0.11111 -0.90309 0.64903 0.00074702 0.18564 
48  0.0000 -1000.0 0.80604 0.0000 0.18554 
49  0.44444 -0.096910 0.21111  -nan nan 
50  0.0000 -1000.0 0.80604 0.0000 0.18554 
51  0.0000 -1000.0 0.80604 0.0000 0.18554 
52  0.0000 -1000.0 0.80604 0.0000 0.18554 
53  0.11111 -0.90309 0.64903 0.026373 0.18871 
54  1.0000 1000.0 0.0000 1.2097 0.37287 
55  0.44444 -0.096910 0.21111  -nan nan 
56  0.0000 -1000.0 0.80604 0.0000 0.18554 
57  0.0000 -1000.0 0.80604 0.0000 0.18554 
58  0.22222 -0.54407 0.40143 -0.27607 0.15951 
59  0.0000 -1000.0 0.80604 0.0000 0.18554 
60  0.0000 -1000.0 0.80604 0.0000 0.18554 
61  0.44444 -0.096910 0.21111 0.52092 0.26513 
62  1.0000 1000.0 0.0000 0.99798 0.33672 
63  0.0000 -1000.0 0.80604 0.0000 0.18554 
64  0.11111 -0.90309 0.64903 0.074964 0.19693 
65  0.11111 -0.90309 0.64903 -0.097159 0.17482 
66  0.11111 -0.90309 0.64903 -0.053445 0.17947 
67  0.0000 -1000.0 0.80604 0.0000 0.18554 
68  0.0000 -1000.0 0.80604 0.0000 0.18554 
69  0.22222 -0.54407 0.40143 0.035872 0.19031 
70  1.0000 1000.0 0.0000 1.6346 0.44973 
71  0.0000 -1000.0 0.80604 0.0000 0.18554 
72  0.0000 -1000.0 0.80604 0.0000 0.18554 
73  0.66667 0.30103 0.025641 0.53110 0.26199 
74  0.11111 -0.90309 0.64903 -0.043171 0.18037 
75  0.11111 -0.90309 0.64903 -0.033630 0.18138 
76  0.0000 -1000.0 0.80604 0.0000 0.18554 
77  0.0000 -1000.0 0.80604 0.0000 0.18554 
78  1.0000 1000.0 0.0000 -0.10539 0.17761 
79  0.0000 -1000.0 0.80604 0.0000 0.18554 
80  0.11111 -0.90309 0.64903 -0.027714 0.18222 
81  0.11111 -0.90309 0.64903 0.0055261 0.18629 
82  0.22222 -0.54407 0.40143 -0.10112 0.17525 
83  0.0000 -1000.0 0.80604 0.0000 0.18554 
84  0.0000 -1000.0 0.80604 0.0000 0.18554 
85  0.11111 -0.90309 0.64903 -0.049039 0.17967 
86  0.11111 -0.90309 0.64903 0.046080 0.19124 
87  0.11111 -0.90309 0.64903 -0.027076 0.18215 
88  0.22222 -0.54407 0.40143 0.15751 0.20700 
89  0.44444 -0.096910 0.21111 0.25341 0.21963 
90  0.0000 -1000.0 0.80604 0.0000 0.18554 
91  0.0000 -1000.0 0.80604 0.0000 0.18554 
92  0.11111 -0.90309 0.64903 0.0071608 0.18650 
93  0.0000 -1000.0 0.80604 0.0000 0.18554 
94  0.44444 -0.096910 0.21111 0.19367 0.21190 
95  0.0000 -1000.0 0.80604 0.0000 0.18554 
96  0.11111 -0.90309 0.64903 0.081773 0.19643 
