"Species","Primer","Bayescan_fst","Bayescan_Probability","Bayescan_alpha","Bayescan_qvalue","Bayescan_Type","PCadapt_K","PCadapt_chi2_statistic","PCadapt_pvalue","PCadapt_qvalue","PCadapt_Type","Overall_Type"
"\textit{Androsace obtusifolia}","AAC_CAN_83.0",0.2179175,0.11588675,-0.0947925,0.845635,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_85.0",0.2264625,0.07625775,-0.01633725,0.89619,"neutral",3,0.568017573035512,0.903713364198594,0.966038423798497,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_89.0",0.2299175,0.06718175,0.00878965,0.89972,"neutral",3,8.62753553953321,0.034675658557189,0.38300128632644,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_91.0",0.2283075,0.06675675,-0.001458405,0.89973,"neutral",3,7.3414835767087,0.0617744010203936,0.38300128632644,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_100.0",0.2236925,0.0961595,-0.0455365,0.8731725,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_102.0",0.2260275,0.080883,-0.02223975,0.8921125,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_108.0",0.25206,0.13651,0.1189025,0.8238025,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_124.0",0.22557,0.0816335,-0.02459025,0.8911125,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_125.0",0.2252975,0.080483,-0.0239875,0.89265,"neutral",3,0.745292374144459,0.862502484895843,0.965007514542036,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_128.0",0.2199425,0.103735,-0.07193375,0.861945,"neutral",3,2.87675867445427,0.411019443279016,0.932616506508955,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_130.0",0.2333025,0.07243225,0.02773075,0.8982875,"neutral",3,4.33269860728959,0.227707506403873,0.784325855391119,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_132.0",0.2277225,0.08193325,-0.01199155,0.8911475,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_133.0",0.22171,0.09513425,-0.053677,0.8753925,"neutral",3,0.777486762434141,0.854843973854222,0.965007514542036,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_136.0",0.223685,0.08255825,-0.03692375,0.8908175,"neutral",3,2.77672838256697,0.427345181123646,0.932616506508955,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_137.0",0.2244475,0.091034,-0.038581,0.8820125,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_146.0",0.226085,0.0850335,-0.0237605,0.888565,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_151.0",0.2437225,0.112385,0.0772905,0.851525,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_152.0",0.226185,0.08295825,-0.0205205,0.89016,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_153.0",0.2267875,0.079783,-0.01564775,0.893395,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_182.0",0.21942,0.104035,-0.07762775,0.861315,"neutral",3,0.145684278692598,0.985840886924641,0.985840886924641,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_195.0",0.2249975,0.07343225,-0.0241015,0.8981325,"neutral",3,2.89653451761749,0.407854143328357,0.932616506508955,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_211.0",0.22714,0.07285725,-0.011363075,0.897595,"neutral",3,5.4829203505188,0.13966374588329,0.618510874626001,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_220.0",0.2238175,0.090284,-0.04323525,0.88334,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_231.0",0.2292325,0.070582,0.00388965,0.89911,"neutral",3,3.23567942218799,0.356695665303817,0.932616506508955,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_239.0",0.2407925,0.10386,0.06249975,0.8622275,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_272.0",0.2256875,0.081483,-0.02249475,0.89175,"neutral",3,1.68359003985763,0.640588247087162,0.94563026950962,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_319.0",0.252505,0.13836,0.120975,0.820645,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_81.0",0.22879,0.062381,0.00322045,0.9010225,"neutral",3,5.80894807943782,0.121284452269429,0.618510874626001,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_85.0",0.2258275,0.0848335,-0.0252795,0.88833,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_90.0",0.22616,0.080683,-0.021081,0.8922275,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_97.0",0.2241925,0.08190825,-0.033671,0.89159,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_99.0",0.2725525,0.20437,0.2193075,0.7652825,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_100.0",0.239635,0.09758475,0.05743475,0.8717,"neutral",3,1.85388162035818,0.603280463434693,0.932616506508955,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_102.0",0.22015,0.102585,-0.07093425,0.864215,"neutral",3,5.57026368565176,0.134495951527502,0.618510874626001,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_103.0",0.2362,0.09083375,0.03882975,0.881345,"neutral",3,9.41445039164455,0.0242590984087208,0.376016025335172,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_108.0",0.2215775,0.098985,-0.05872375,0.8684625,"neutral",3,1.52324555481441,0.676915753923538,0.947504136894465,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_120.0",0.2331575,0.08130825,0.02401125,0.8918375,"neutral",3,5.10092561000001,0.164554302510378,0.680157783709563,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_124.0",0.2539275,0.145935,0.12843,0.80432,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_126.0",0.2516125,0.13606,0.11749,0.8246575,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_129.0",0.2268325,0.07758275,-0.015043,0.89393,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_131.0",0.23998,0.0939595,0.06130575,0.8778825,"neutral",3,10.5163753478708,0.0146502241850724,0.30277129982483,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_133.0",0.2265225,0.07545775,-0.015752,0.8966475,"neutral",3,2.11946243651493,0.547985425786351,0.932616506508955,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_135.0",0.2323175,0.0737575,0.02164575,0.897475,"neutral",3,0.88783363242406,0.828362796947592,0.965007514542036,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_140.0",0.2322825,0.079258,0.01916375,0.8937625,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_148.0",0.27445,0.20897,0.22819,0.7454775,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_152.0",0.230785,0.0643065,0.01478275,0.9004275,"neutral",3,7.34718085873694,0.0616178151510968,0.38300128632644,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_153.0",0.218535,0.11216,-0.08744375,0.8525225,"neutral",3,3.08887505885078,0.378124339303049,0.932616506508955,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_155.0",0.2254325,0.0741325,-0.02242225,0.8973825,"neutral",3,0.640142190204743,0.887184327885421,0.965007514542036,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_157.0",0.223415,0.0944345,-0.0475965,0.87684,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_159.0",0.2408225,0.101035,0.0639085,0.865425,"neutral",3,2.93269765460423,0.402118697798399,0.932616506508955,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_162.0",0.22525,0.08735875,-0.0310715,0.8866175,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_168.0",0.2227225,0.088434,-0.04529,0.8846125,"neutral",3,4.66464134566606,0.198066453248412,0.749831238296877,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_173.0",0.272655,0.20447,0.21902,0.7656475,"neutral",3,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","ACA_CAT_177.0",0.22153,0.09623475,-0.058168,0.873625,"neutral",3,2.26979563823576,0.518331943264387,0.932616506508955,"neutral","neutral"
