"Species","Primer","Bayescan_fst","Bayescan_Probability","Bayescan_alpha","Bayescan_qvalue","Bayescan_Type","PCadapt_K","PCadapt_chi2_statistic","PCadapt_pvalue","PCadapt_qvalue","PCadapt_Type","Overall_Type"
"\textit{Androsace obtusifolia}","AAC_CAN_83.0",0.219895,0.10266025,-0.06777075,0.844424,"neutral",3,1.14628668310629,0.765913652027185,0.987846347603686,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_85.0",0.2275325,0.0752325,-0.003264625,0.8956125,"neutral",3,2.1162656130325,0.548629134549885,0.955861157256411,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_89.0",0.2322975,0.0759575,0.02709875,0.8957825,"neutral",3,5.80142661669131,0.121681223558983,0.766591708421595,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_91.0",0.2290325,0.07173225,0.008359525,0.8999275,"neutral",3,4.16841584537595,0.243843142857153,0.903654000000036,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_125.0",0.2257525,0.07710775,-0.01417975,0.8928325,"neutral",3,1.72376211265769,0.631663920099136,0.987846347603686,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_128.0",0.2170475,0.11196,-0.09262875,0.8062775,"neutral",3,0.254842823417867,0.968284831784308,0.987846347603686,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_130.0",0.2352225,0.08283325,0.043018,0.88352,"neutral",3,3.25454715527135,0.354019100339796,0.917775592044221,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_133.0",0.2215825,0.088934,-0.04755425,0.8725275,"neutral",3,1.03345791515554,0.793156863711131,0.987846347603686,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_136.0",0.2218575,0.086709,-0.04410775,0.87721,"neutral",3,2.99363200885073,0.392608037650489,0.917775592044221,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_182.0",0.2201925,0.09410925,-0.05914,0.8611075,"neutral",3,0.697419588456924,0.873810719532387,0.987846347603686,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_195.0",0.2257025,0.067707,-0.01176725,0.902075,"neutral",3,1.1246666834757,0.771123031317371,0.987846347603686,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_211.0",0.2276525,0.077333,-0.00293027325,0.8927425,"neutral",3,2.60627036812846,0.456391330648587,0.955861157256411,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_231.0",0.2303275,0.07243225,0.015831,0.8988625,"neutral",3,1.99227250936993,0.574012122351314,0.955861157256411,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_272.0",0.22591,0.07443225,-0.0135875,0.8975625,"neutral",3,1.29231008964569,0.730959926835905,0.987846347603686,"neutral","neutral"
